时间,开盘,最高,最低,收盘,成交量,成交额
2025-12-01 22:30:00,53.11,53.13,53.11,53.12,5062160.0,269046016.0
2025-12-01 22:31:00,53.12,53.321,53.101,53.278,1177460.0,62652400.0
2025-12-01 22:32:00,53.278,53.32,53.06,53.08,468994.0,24940500.0
2025-12-01 22:33:00,53.08,53.2,52.975,53.155,584274.0,30974200.0
2025-12-01 22:34:00,53.155,53.355,53.11,53.295,348769.0,18583600.0
2025-12-01 22:35:00,53.295,53.39,53.26,53.38,417566.0,22293200.0
2025-12-01 22:36:00,53.38,53.44,53.25,53.345,486479.0,25973800.0
2025-12-01 22:37:00,53.345,53.42,53.29,53.35,351174.0,18755800.0
2025-12-01 22:38:00,53.35,53.51,53.35,53.489,615297.0,32934300.0
2025-12-01 22:39:00,53.5,53.52,53.439,53.448,416521.0,22306200.0
2025-12-01 22:40:00,53.448,53.448,53.15,53.15,571019.0,30434600.0
2025-12-01 22:41:00,53.15,53.3,53.091,53.14,429201.0,22807200.0
2025-12-01 22:42:00,53.135,53.18,52.94,53.156,678962.0,35996300.0
2025-12-01 22:43:00,53.15,53.15,52.98,53.08,425097.0,22532800.0
2025-12-01 22:44:00,53.08,53.08,52.82,52.87,744546.0,39368800.0
2025-12-01 22:45:00,52.87,53.075,52.82,53.055,471572.0,24940200.0
2025-12-01 22:46:00,53.06,53.26,53.0,53.26,512522.0,27218700.0
2025-12-01 22:47:00,53.26,53.345,53.24,53.345,421053.0,22444600.0
2025-12-01 22:48:00,53.34,53.5,53.34,53.49,395844.0,21158200.0
2025-12-01 22:49:00,53.49,53.59,53.391,53.414,673467.0,36032700.0
2025-12-01 22:50:00,53.414,53.45,53.34,53.38,281328.0,15024500.0
2025-12-01 22:51:00,53.38,53.55,53.363,53.545,325024.0,17374000.0
2025-12-01 22:52:00,53.545,53.596,53.45,53.544,315766.0,16904300.0
2025-12-01 22:53:00,53.545,53.585,53.43,53.56,323047.0,17297300.0
2025-12-01 22:54:00,53.55,53.64,53.47,53.59,306380.0,16416400.0
2025-12-01 22:55:00,53.59,53.71,53.55,53.695,374411.0,20099000.0
2025-12-01 22:56:00,53.7,53.81,53.69,53.805,507231.0,27300500.0
2025-12-01 22:57:00,53.805,53.91,53.78,53.785,474425.0,25574000.0
2025-12-01 22:58:00,53.79,53.85,53.73,53.8,313373.0,16883000.0
2025-12-01 22:59:00,53.8,53.83,53.63,53.69,449150.0,24150000.0
2025-12-01 23:00:00,53.685,53.81,53.65,53.81,278953.0,15002800.0
2025-12-01 23:01:00,53.81,53.9,53.74,53.857,415891.0,22417700.0
2025-12-01 23:02:00,53.857,53.9,53.78,53.81,343815.0,18554400.0
2025-12-01 23:03:00,53.82,53.86,53.72,53.8,203147.0,10938700.0
2025-12-01 23:04:00,53.78,53.78,53.68,53.685,241809.0,12997100.0
2025-12-01 23:05:00,53.68,53.775,53.66,53.715,231483.0,12443200.0
2025-12-01 23:06:00,53.715,53.78,53.61,53.73,254684.0,13674200.0
2025-12-01 23:07:00,53.73,53.82,53.692,53.78,192744.0,10372200.0
2025-12-01 23:08:00,53.78,53.88,53.76,53.82,230585.0,12422400.0
2025-12-01 23:09:00,53.81,53.9,53.794,53.85,129760.0,6983680.0
2025-12-01 23:10:00,53.85,53.9,53.74,53.81,188353.0,10148000.0
2025-12-01 23:11:00,53.81,53.88,53.73,53.88,258918.0,13943800.0
2025-12-01 23:12:00,53.88,53.895,53.78,53.84,162997.0,8780920.0
2025-12-01 23:13:00,53.84,53.874,53.742,53.874,177627.0,9567180.0
2025-12-01 23:14:00,53.88,53.97,53.83,53.928,208382.0,11235500.0
2025-12-01 23:15:00,53.915,53.915,53.73,53.75,194241.0,10456100.0
2025-12-01 23:16:00,53.75,53.77,53.67,53.677,245015.0,13151200.0
2025-12-01 23:17:00,53.677,53.81,53.64,53.78,190567.0,10244400.0
2025-12-01 23:18:00,53.78,53.84,53.71,53.77,107052.0,5759020.0
2025-12-01 23:19:00,53.77,53.835,53.73,53.82,104583.0,5622380.0
2025-12-01 23:20:00,53.815,53.88,53.78,53.82,185784.0,10014600.0
2025-12-01 23:21:00,53.8,53.83,53.71,53.75,109091.0,5860290.0
2025-12-01 23:22:00,53.75,53.75,53.58,53.675,221344.0,11868500.0
2025-12-01 23:23:00,53.665,53.72,53.621,53.66,141672.0,7605510.0
2025-12-01 23:24:00,53.66,53.72,53.62,53.64,173931.0,9341740.0
2025-12-01 23:25:00,53.65,53.69,53.59,53.62,135645.0,7274990.0
2025-12-01 23:26:00,53.62,53.65,53.46,53.575,441868.0,23652100.0
